code,libelle_officiel,chapitre,forme_rendue,forme_source,source,signal,proposition,motif,version_regle
A52.1,Syphilis nerveuse symptomatique,I,antécédent tabès,antécédent tabès,CepiDc 2015,sonde:tabès+isolement,garder,"tabès : terminologie officielle vivante (A52.1, G95)",v1
A52.1,Syphilis nerveuse symptomatique,I,maladie tabès,maladie tabès,CepiDc 2015,sonde:tabès+isolement,garder,"tabès : terminologie officielle vivante (A52.1, G95)",v1
A52.1,Syphilis nerveuse symptomatique,I,paralysie générale,paralysie générale,CepiDc 2015,sonde:paralysie générale+isolement,garder,"paralysie générale : dénomination encore en usage (neurosyphilis, A52.1)",v1
A52.1,Syphilis nerveuse symptomatique,I,tabès syphilitique,tabès syphilitique,CepiDc 2015,sonde:tabès+isolement,garder,"tabès : terminologie officielle vivante (A52.1, G95)",v1
A52.1,Syphilis nerveuse symptomatique,I,tabès viscéral,tabès viscéral,CepiDc 2015,sonde:tabès+isolement,garder,"tabès : terminologie officielle vivante (A52.1, G95)",v1
B37.9,"Candidose, sans précision",I,Muguet,Muguet,CIM-10 index,sonde:muguet+isolement,garder,muguet : terme vivant de la candidose buccale (B37.0),v1
B94.8,Séquelles d'autres maladies infectieuses et parasitaires précisées,I,séquelles croup,séquelles croup,CepiDc 2015,sonde:croup+isolement,garder,"croup : terme officiel vivant (J05.0, diphtérie A36)",v1
D22.9,"Naevus à mélanocytes, sans précision",II,Naevus mongolien,Naevus mongolien,AP-HP Dermatologie,sonde:mongolisme,garder,tache/naevus mongolien : terme dermatologique classique (mélanocytose dermique),v1
D50.8,Autres anémies par carence en fer,III,Chlorose,Chlorose,CIM-10 index,sonde:chlorose+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
E00.0,Syndrome d'insuffisance thyroïdienne congénitale de type neurologique,IV,crétinisme neurologique,"Crétinisme (congénital) (endémique) (sporadique), neurologique",CIM-10 index,sonde:crétinisme+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
E00.1,Syndrome d'insuffisance thyroïdienne congénitale de type myxœdémateux,IV,crétinisme hypothyroïdien,"Crétinisme (congénital) (endémique) (sporadique), hypothyroïdien",CIM-10 index,sonde:crétinisme+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
E00.1,Syndrome d'insuffisance thyroïdienne congénitale de type myxœdémateux,IV,crétinisme myxoedémateux,"Crétinisme (congénital) (endémique) (sporadique), myxoedémateux",CIM-10 index,sonde:crétinisme+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
E00.2,Syndrome d'insuffisance thyroïdienne congénitale de type mixte,IV,crétinisme mixte,"Crétinisme (congénital) (endémique) (sporadique), mixte",CIM-10 index,sonde:crétinisme+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
E00.9,"Syndrome d'insuffisance thyroïdienne congénitale, sans précision",IV,crétinisme,Crétinisme (congénital) (endémique) (sporadique),CIM-10 index,sonde:crétinisme+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
E00.9,"Syndrome d'insuffisance thyroïdienne congénitale, sans précision",IV,crétinisme congénital,crétinisme congénital,CepiDc 2015,sonde:crétinisme+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
E41,Marasme nutritionnel,IV,athrepsie,Athrepsie (due à dénutrition),CIM-10 index,sonde:athrepsie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
E41,Marasme nutritionnel,IV,athrepsie,athrepsie,CepiDc 2015,sonde:athrepsie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
E75.4,Lipofuscinose à céroïdes neuronaux,IV,idiotie amaurotique (de bielschowsky) (infantile) (juvénile),"Idiotie (congénitale) (qi au-dessous de 20), amaurotique (de bielschowsky(-jansky)) (familiale) (infantile(tardive)) (juvénile(tardive)) (de spielmeyer-vogt)",CIM-10 index,sonde:idiotie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
E75.4,Lipofuscinose à céroïdes neuronaux,IV,idiotie amaurotique familiale de Jansky-bielschowsky,"Jansky-bielschowsky, idiotie amaurotique familiale de",CIM-10 index,sonde:idiotie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F03,"Démence, sans précision",V,démence précoce,démence précoce,CepiDc 2015,sonde:démence précoce+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F03,"Démence, sans précision",V,sénilité démentielle,sénilité démentielle,CepiDc 2015,sonde:sénilité+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F03,"Démence, sans précision",V,sénilité mentale,sénilité mentale,CepiDc 2015,sonde:sénilité+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F03,"Démence, sans précision",V,sénilité psychique,sénilité psychique,CepiDc 2015,sonde:sénilité+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F20.1,Schizophrénie hébéphrénique,V,hébéphrénie,Hébéphrénie (aiguë),CIM-10 index,sonde:hébéphrénie+isolement,garder,"hébéphrénie : terminologie CIM-10 vivante (F20.1, schizophrénie hébéphrénique)",v1
F20.1,Schizophrénie hébéphrénique,V,schizophrénie hébéphrénique,"Schizophrénie, hébéphrénique",CIM-10 index,sonde:hébéphrénie,garder,"hébéphrénie : terminologie CIM-10 vivante (F20.1, schizophrénie hébéphrénique)",v1
F20.1,Schizophrénie hébéphrénique,V,psychose hébéphrénique,psychose hébéphrénique,CepiDc 2015,sonde:hébéphrénie+isolement,garder,"hébéphrénie : terminologie CIM-10 vivante (F20.1, schizophrénie hébéphrénique)",v1
F20.1,Schizophrénie hébéphrénique,V,schizophrénie type hébéphrénique,schizophrénie type hébéphrénique,CepiDc 2015,sonde:hébéphrénie+isolement,garder,"hébéphrénie : terminologie CIM-10 vivante (F20.1, schizophrénie hébéphrénique)",v1
F20.1,Schizophrénie hébéphrénique,V,troubles hébéphréniques,troubles hébéphréniques,CepiDc 2015,sonde:hébéphrénie+isolement,garder,"hébéphrénie : terminologie CIM-10 vivante (F20.1, schizophrénie hébéphrénique)",v1
F20.3,Schizophrénie indifférenciée,V,schizophrénie hébéphréno-catatonique,schizophrénie hébéphréno-catatonique,CepiDc 2015,sonde:hébéphrénie+isolement,garder,"hébéphrénie : terminologie CIM-10 vivante (F20.1, schizophrénie hébéphrénique)",v1
F29,"Psychose non organique, sans précision",V,aliénation mentale,aliénation mentale,CepiDc 2015,sonde:aliénation+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F32.9,"Épisode dépressif, sans précision",V,ictus dépressif,ictus dépressif,CepiDc 2015,sonde:ictus+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.3,États de transe et de possession,V,agitation hystérique,"Agitation, hystérique",CIM-10 index,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.4,Troubles moteurs dissociatifs,V,attitude hystériques,"Attitude(s), hystériques",CIM-10 index,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.4,Troubles moteurs dissociatifs,V,automatisme ambulatoire hystérique,"Automatisme, ambulatoire hystérique",CIM-10 index,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.4,Troubles moteurs dissociatifs,V,automatisme hystérique,"Automatisme, hystérique",CIM-10 index,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.4,Troubles moteurs dissociatifs,V,Balancement hystérique,Balancement hystérique,CIM-10 index,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.4,Troubles moteurs dissociatifs,V,chorée hystérique,"Chorée (de), hystérique",CIM-10 index,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.4,Troubles moteurs dissociatifs,V,claudication hystérique,"Claudication (vasculaire), hystérique",CIM-10 index,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.4,Troubles moteurs dissociatifs,V,contracture hystérique,"Contracture (de), hystérique",CIM-10 index,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.4,Troubles moteurs dissociatifs,V,hémiplégie hystérique,"Hémiplégie, hystérique",CIM-10 index,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.4,Troubles moteurs dissociatifs,V,monoplégie hystérique,"Monoplégie (de), hystérique (transitoire)",CIM-10 index,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.4,Troubles moteurs dissociatifs,V,mouvement hystériques,"Mouvement(s), hystériques",CIM-10 index,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.4,Troubles moteurs dissociatifs,V,paralysie hystérique,"Paralysie (de), hystérique",CIM-10 index,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.4,Troubles moteurs dissociatifs,V,spasme hystérique,"Spasme (de), hystérique",CIM-10 index,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.4,Troubles moteurs dissociatifs,V,torticolis hystérique,"Torticolis, hystérique",CIM-10 index,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.4,Troubles moteurs dissociatifs,V,tremblement hystérique,"Tremblement (de), hystérique",CIM-10 index,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.5,Convulsions dissociatives,V,convulsions hystériques,"Convulsions (idiopathiques) (de), hystériques",CIM-10 index,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.5,Convulsions dissociatives,V,tétanie hystérique,"Tétanie, hystérique",CIM-10 index,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.8,Autres troubles dissociatifs [de conversion],V,manie hystérique,"Manie (monopolaire), hystérique",CIM-10 index,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.8,Autres troubles dissociatifs [de conversion],V,vertige hystérique,"Vertige (de), hystérique",CIM-10 index,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.9,"Trouble dissociatif [de conversion], sans précision",V,conversion hystérique,conversion hystérique,CepiDc 2015,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.9,"Trouble dissociatif [de conversion], sans précision",V,hystérie,hystérie,CepiDc 2015,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.9,"Trouble dissociatif [de conversion], sans précision",V,hystérie conversion,hystérie conversion,CepiDc 2015,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.9,"Trouble dissociatif [de conversion], sans précision",V,névrose hystérique,névrose hystérique,CepiDc 2015,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.9,"Trouble dissociatif [de conversion], sans précision",V,névrose hystérique ancienne,névrose hystérique ancienne,CepiDc 2015,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.9,"Trouble dissociatif [de conversion], sans précision",V,névrose hystérique chronique,névrose hystérique chronique,CepiDc 2015,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.9,"Trouble dissociatif [de conversion], sans précision",V,personnalité névrotico-hystérique,personnalité névrotico-hystérique,CepiDc 2015,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.9,"Trouble dissociatif [de conversion], sans précision",V,psychopathie hystérique,psychopathie hystérique,CepiDc 2015,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.9,"Trouble dissociatif [de conversion], sans précision",V,syndrome conversion hystérique,syndrome conversion hystérique,CepiDc 2015,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.9,"Trouble dissociatif [de conversion], sans précision",V,syndrome hystérique,syndrome hystérique,CepiDc 2015,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.9,"Trouble dissociatif [de conversion], sans précision",V,terrain hystérique,terrain hystérique,CepiDc 2015,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F44.9,"Trouble dissociatif [de conversion], sans précision",V,état névrotique type hystérique,état névrotique type hystérique,CepiDc 2015,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F45.8,Autres troubles somatoformes,V,dysphagie hystérique,"Dysphagie, hystérique",CIM-10 index,sonde:hystérie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F48.0,Neurasthénie,V,neurasthénie,Neurasthénie,CIM-10 index,sonde:neurasthénie,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F71.9,"Retard mental moyen - "" Sans mention d'une déficience du comportement """,V,imbécillité,imbécillité,CepiDc 2015,sonde:imbécillité+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F73.9,"Retard mental profond - "" Sans mention d'une déficience du comportement """,V,idiotie,idiotie,CepiDc 2015,sonde:idiotie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
F99,"Trouble mental, sans autre indication",V,folie,Folie,CIM-10 index,sonde:folie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
G31.1,"Dégénérescence cérébrale sénile, non classée ailleurs",VI,sénilité cérébrale,sénilité cérébrale,CepiDc 2015,sonde:sénilité+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
G45.4,Amnésie globale transitoire,VI,ictus amnésique,"Ictus, amnésique (transitoire)",CIM-10 index,sonde:ictus+isolement,garder,ictus amnésique : entité clinique vivante (G45.4),v1
G45.9,"Accident ischémique cérébral transitoire, sans précision",VI,ictus cérébral transitoire,ictus cérébral transitoire,CepiDc 2015,sonde:ictus+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
G45.9,"Accident ischémique cérébral transitoire, sans précision",VI,ictus transitoire,ictus transitoire,CepiDc 2015,sonde:ictus+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
G83.9,"Syndrome paralytique, sans précision",VI,paralysie générale,paralysie générale,CepiDc 2015,sonde:paralysie générale+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
G93.8,Autres affections précisées du cerveau,VI,congestion cérébrale,"Congestion (chronique) (passive) (de), cérébrale",CIM-10 index,sonde:congestion cérébrale+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
G93.8,Autres affections précisées du cerveau,VI,ramollissement cérébral,"Ramollissement (de), cérébral",CIM-10 index,sonde:ramollissement+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
G93.8,Autres affections précisées du cerveau,VI,ramollissement cérébral ancien,ramollissement cérébral ancien,CepiDc 2015,sonde:ramollissement+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
G93.8,Autres affections précisées du cerveau,VI,ramollissement cérébral bihémisphérique,ramollissement cérébral bihémisphérique,CepiDc 2015,sonde:ramollissement+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
G93.8,Autres affections précisées du cerveau,VI,ramollissement cérébral bilatéral,ramollissement cérébral bilatéral,CepiDc 2015,sonde:ramollissement+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
G93.8,Autres affections précisées du cerveau,VI,ramollissement fonctions cérébrales,ramollissement fonctions cérébrales,CepiDc 2015,sonde:ramollissement+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
G93.8,Autres affections précisées du cerveau,VI,ramollissement hémi-cérébelleux,ramollissement hémi-cérébelleux,CepiDc 2015,sonde:ramollissement+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
G93.8,Autres affections précisées du cerveau,VI,ramollissement pariétal ancien,ramollissement pariétal ancien,CepiDc 2015,sonde:ramollissement+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
G93.8,Autres affections précisées du cerveau,VI,ramollissement pariéto-temporal,ramollissement pariéto-temporal,CepiDc 2015,sonde:ramollissement+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
G93.8,Autres affections précisées du cerveau,VI,ramollissement temporal,ramollissement temporal,CepiDc 2015,sonde:ramollissement+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
G93.8,Autres affections précisées du cerveau,VI,ramollissements bi-hémisphériques multiples,ramollissements bi-hémisphériques multiples,CepiDc 2015,sonde:ramollissement+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
G95.8,Autres affections précisées de la moelle épinière,VI,ramollissement de la moelle,"Ramollissement (de), moelle (épinière)",CIM-10 index,sonde:ramollissement+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
H65.9,"Otite moyenne non suppurée, sans précision",VIII,catarrhe (de) oreille moyenne,"Catarrhe (de(s)), oreille moyenne",CIM-10 index,sonde:catarrhe+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
H65.9,"Otite moyenne non suppurée, sans précision",VIII,catarrhe (de) tubo-tympanique,"Catarrhe (de(s)), tubo-tympanique",CIM-10 index,sonde:catarrhe+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
H68.0,Salpingite de la trompe d'Eustache,VIII,catarrhe (de) tubaire,"Catarrhe (de(s)), tubaire",CIM-10 index,sonde:catarrhe+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
I02.9,"Chorée rhumatismale, sans atteinte cardiaque",IX,chorée de Sydenham,"Sydenham, chorée de",CIM-10 index,sonde:chorée de sydenham+isolement,garder,chorée de Sydenham : dénomination vivante (I02),v1
I27.9,"Affection cardiopulmonaire, sans précision",IX,ictus cardio-pulmonaire,ictus cardio-pulmonaire,CepiDc 2015,sonde:ictus+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
I51.6,"Maladie cardiovasculaire, sans précision",IX,ictus cardio-circulatoire,ictus cardio-circulatoire,CepiDc 2015,sonde:ictus+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
I51.6,"Maladie cardiovasculaire, sans précision",IX,ictus cardio-vasculaire,ictus cardio-vasculaire,CepiDc 2015,sonde:ictus+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
I51.6,"Maladie cardiovasculaire, sans précision",IX,ictus cardiovasculaire,ictus cardiovasculaire,CepiDc 2015,sonde:ictus+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
I62.9,"Hémorragie intracrânienne (non traumatique), sans précision",IX,ramollissements hémorragiques intracrâniens,ramollissements hémorragiques intracrâniens,CepiDc 2015,sonde:ramollissement+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
I64,"Accident vasculaire cérébral, non précisé comme étant hémorragique ou par infarctus",IX,apoplexie,Apoplexie (de),CIM-10 index,sonde:apoplexie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
I64,"Accident vasculaire cérébral, non précisé comme étant hémorragique ou par infarctus",IX,apoplexie basilaire,"Apoplexie (de), basilaire",CIM-10 index,sonde:apoplexie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
I64,"Accident vasculaire cérébral, non précisé comme étant hémorragique ou par infarctus",IX,apoplexie bulbaire,"Apoplexie (de), bulbaire",CIM-10 index,sonde:apoplexie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
I64,"Accident vasculaire cérébral, non précisé comme étant hémorragique ou par infarctus",IX,apoplexie du cerveau,"Apoplexie (de), cerveau",CIM-10 index,sonde:apoplexie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
I64,"Accident vasculaire cérébral, non précisé comme étant hémorragique ou par infarctus",IX,apoplexie congestive,"Apoplexie (de), congestive",CIM-10 index,sonde:apoplexie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
I64,"Accident vasculaire cérébral, non précisé comme étant hémorragique ou par infarctus",IX,apoplexie cérébrale,"Apoplexie (de), cérébrale",CIM-10 index,sonde:apoplexie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
I64,"Accident vasculaire cérébral, non précisé comme étant hémorragique ou par infarctus",IX,coma apoplectique,"Coma, apoplectique",CIM-10 index,sonde:apoplexie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
I67.8,Autres maladies cérébrovasculaires précisées,IX,congestion cérébrale ischémique,congestion cérébrale ischémique,CepiDc 2015,sonde:congestion cérébrale+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
I69.8,"Séquelles de maladies cérébrovasculaires, autres et non précisées",IX,antécédent ramollissement cérébral,antécédent ramollissement cérébral,CepiDc 2015,sonde:ramollissement+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
I69.8,"Séquelles de maladies cérébrovasculaires, autres et non précisées",IX,antécédent ramollissement sylvien,antécédent ramollissement sylvien,CepiDc 2015,sonde:ramollissement+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
I97.8,"Autres troubles de l'appareil circulatoire après un acte à visée diagnostique et thérapeutique, non classés ailleurs",IX,ramollissement cérébral post-opératoire,ramollissement cérébral post-opératoire,CepiDc 2015,sonde:ramollissement+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
I97.8,"Autres troubles de l'appareil circulatoire après un acte à visée diagnostique et thérapeutique, non classés ailleurs",IX,ramollissement hémorragique post-fibrinolyse,ramollissement hémorragique post-fibrinolyse,CepiDc 2015,sonde:ramollissement+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
I97.8,"Autres troubles de l'appareil circulatoire après un acte à visée diagnostique et thérapeutique, non classés ailleurs",IX,ramollissement tronc cérébral post-opératoire,ramollissement tronc cérébral post-opératoire,CepiDc 2015,sonde:ramollissement+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
J02.9,"Pharyngite aigüe, sans précision",X,catarrhe (de) pharyngé,"Catarrhe (de(s)), pharyngé (aigu)",CIM-10 index,sonde:catarrhe+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
J05.0,Laryngite obstructive aigüe [croup],X,croup faux,"Croup (canada j05.0), faux (canada j38.7)",CIM-10 index,sonde:croup+isolement,garder,"croup : terme officiel vivant (J05.0, diphtérie A36)",v1
J05.0,Laryngite obstructive aigüe [croup],X,faux croup,"Faux, croup (canada j38.7)",CIM-10 index,sonde:croup+isolement,garder,"croup : terme officiel vivant (J05.0, diphtérie A36)",v1
J31.0,Rhinite chronique,X,catarrhe nasal,catarrhe nasal,CepiDc 2015,sonde:catarrhe+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
J31.0,Rhinite chronique,X,catarrhe oculo-nasal,catarrhe oculo-nasal,CepiDc 2015,sonde:catarrhe+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
J31.1,Rhinopharyngite chronique,X,catarrhe (de) rhinopharyngé,"Catarrhe (de(s)), rhinopharyngé (chronique)",CIM-10 index,sonde:catarrhe+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
J31.2,Pharyngite chronique,X,catarrhe (de) fumeurs,"Catarrhe (de(s)), fumeurs",CIM-10 index,sonde:catarrhe+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
J37.0,Laryngite chronique,X,catarrhe (de) laryngé,"Catarrhe (de(s)), laryngé (chronique)",CIM-10 index,sonde:catarrhe+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
J38.0,Paralysie des cordes vocales et du larynx,X,ictus laryngé,ictus laryngé,CepiDc 2015,sonde:ictus+isolement,garder,ictus laryngé : dénomination établie de la syncope tussive (ictus laryngis),v1
J38.7,Autres maladies du larynx,X,ictus laryngé,ictus laryngé,CepiDc 2015,sonde:ictus+isolement,garder,ictus laryngé : dénomination établie de la syncope tussive (ictus laryngis),v1
J39.2,Autres maladies du pharynx,X,ictus pharyngé,ictus pharyngé,CepiDc 2015,sonde:ictus+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
J40,"Bronchite, non précisée aigüe ou chronique",X,catarrhe bronchique,catarrhe bronchique,CepiDc 2015,sonde:catarrhe+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
K31.8,Autres maladies précisées de l'estomac et du duodénum,XI,embarras gastrique,embarras gastrique,CepiDc 2015,sonde:embarras gastrique+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
K35.8,"Appendicite aigüe, autre et non précisée",XI,sphacèle appendiculaire,sphacèle appendiculaire,CepiDc 2015,sonde:sphacèle+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
K62.8,Autres maladies précisées de l'anus et du rectum,XI,sphacèle rectum,sphacèle rectum,CepiDc 2015,sonde:sphacèle+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
K80.2,Calcul de la vésicule biliaire sans cholécystite,XI,sphacèle vésicule biliaire lithiasique,sphacèle vésicule biliaire lithiasique,CepiDc 2015,sonde:sphacèle+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
