code_cepidc,n_formulations_perdues,exemples_formulations
I63.09,74,AVC basilaire thrombotique | CIG thrombosée | anévrisme embolisé tronc basilaire | anévrisme thrombosé tronc basilaire | caillot flottant carotide
I42.29,69,CM hypertrophique | CM hypertrophique concentrique non obstructive | CM hypertrophique non obstructive | CMH | CMH hypokinétique
I61.39,69,AVC hémorragique bulbaire paramédian | AVC hémorragique bulbo-protubérantiel | AVC hémorragique mésencéphalique | AVC hémorragique mésencéphalo-protubérantiel | AVC hémorragique protubérance
J98.49,67,atteinte broncho-pulmonaire | atteinte lobe moyen | bilobectomie supérieure | cause pulmonaire | chirurgie pulmonaire
K31.90,66,GEP | Lewis-Santy | affection antre pylorique | affection gastrique | atteinte estomac
I51.59,64,affection cardiaque dégénérative | affection cardio-dégénérative | altération fonction myocardique | altération vasculaire sénile cardiaque | anomalie myocarde
I63.20,63,AIC vertébro-basilaire | AVC ischémique embolique vertébro-basilaire | AVC ischémique territoire vertébro-basilaire | AVC ischémique tronc vertébro-basilaire | AVC ischémique vertébro-basilaire
G20.09,60,Parkinson | Parkinson aigu | Parkinson akinétique | Parkinson ancien | Parkinson atypique
I42.99,58,MCP | MCP arythmique | MCP sévère | antécédent cardiomyopathie | antécédent myocardiopathie
K72.00,58,anhépatie | anoxie hépatique | atrophie aigüe foie | atrophie jaune aigüe foie | choc hépatique
I63.89,55,AVC ischémique thrombo-embolique | AVC micro-infarctus | AVC sylvien embolique | AVC sylvien thrombo-embolique | AVC thrombo-embolique
J11.10,52,affection grippale | complication grippale | complications grippe | contexte grippal | contexte épidémie grippe
I60.99,50,AVC hémorragique sous-arachnoïdien | HSA | HSA temporo-pariétale | accident vasculaire hémorragique sous-arachnoïdien | anévrisme cérébral hémorragique
I61.49,50,AVC cervelet hémorragique | AVC cérébelleux hémorragique | AVC hémorragique cervelet | AVC hémorragique cérébelleux | AVC hémorragique lobe cérébelleux
Q28.29,47,MAV cérébelleuse | MAV cérébrale | MAV occipitale | MAV veine Galien | anomalie artérioveineuse cérébrale
I61.29,46,AVC hémisphérique hémorragique | AVC hémorragique centro-hémisphérique | AVC hémorragique hémisphère | AVC hémorragique hémisphérique | AVC hémorragique intra-hémisphérique
I60.79,43,anévrisme communicante rompu | anévrisme cérébral rompu | anévrisme cérébro-méningé rompu | anévrisme hémorragique fosse postérieure | anévrisme intra-cérébral rompu
I63.39,43,AVC thrombotique | accident ischémique tronc cérébral | accident thrombotique cérébral | accident tronc cérébral ischémique | athéro-thrombose cérébrale
I60.80,40,AVC hémorragique méningé | accident vasculaire cérébro-méningé hémorragique | effraction méningée | hématome méningé | hématome méningé bilatéral
I60.89,39,anévrisme rompu SNC | hématome tente cervelet | hémorragie méningée polygone Willis | hémorragie méningée temporale | hémorragie tente cervelet
K55.00,38,embol AMS | embol artère mésentérique | embol artère mésentérique supérieure | embol artères digestives | embol artériel mésentérique
J84.90,36,UIP | alvéolite interstitielle | alvéolite interstitielle bilatérale | bronchopneumopathie interstitielle | fibroélastose pleuro-parenchymateuse idiopathique
J84.99,35,PINS | atteinte interstitielle pulmonaire | atteinte pulmonaire interstitielle | atteinte respiratoire interstitielle | infection respiratoire interstitielle
I63.90,33,AVC ischémiques itératifs | infarcissement bulbo-protubérantiel | infarctus bi-cérébelleux | infarctus bi-frontal | infarctus bi-hémisphérique
I69.40,33,AVC anciens multiples | AVC antérieurs | AVC cicatriciels | accidents vasculaires cérébraux antérieurs | antécédent AVC bi-occipital
I61.90,31,AVC hémorragiques multiples | AVC multiples hémorragiques | accidents vasculaires cérébraux hémorragiques | hématomes cérébraux | hématomes cérébraux bilatéraux
B59,29,PPC | Pneumocystis carinii | Pneumocystis jirovecii | infection Pneumocystis | infection Pneumocystis carinii
I42.89,29,DVDA | RAVD | Tako-Tsubo | cardiomyopathie aigüe lymphocytaire | cardiomyopathie hypocontractile
I69.30,28,AVC ischémiques antérieurs | antécédent AVC ischémique répété | antécédent AVC ischémiques multiples | antécédent AVC ischémiques répétés | antécédent AVC répétition
K31.99,28,affection duodénale chronique | anastomose antro-jéjunale | anastomose gastro-intestinale | anastomose gastro-jéjunale | anastomose oeso-jéjunale
Q27.89,28,agénésie veine porte | anomalie artère bronchique | anomalie vasculaire pulmonaire | anomalies vasculaires périphériques | arteria lusoria
G90.3,22,AMS | Shy-Drager | Syndrome Bradbury-Eggleston | atrophie multi-systématique | atrophie multi-systématisée
I42.19,22,CMO | CMO hypertrophique | antécédent cardiomyopathie obstructive | cardiomyopathie hypertrophique obstructive | cardiomyopathie hypertrophique septale obstructive
I63.40,21,AVC bilatéraux emboliques | AVC emboliques | AVC emboliques répétition | accidents vasculaires cérébraux emboliques | accidents vasculaires emboliques cérébraux
Q28.39,21,angiomatose congénitale cérébrale | angiomatose cérébrale congénitale | anomalie vasculaire cérébrale | dysplasie artères cérébrales | hypoplasie veineuse cérébrale
Z22.5,21,AgHBs | AgHBs + | AgHBs+ | antigènes antiHBS positifs | antigènes hbs positifs
I42.00,19,cardiomyopathie dilatée familiale | cardiomyopathie dilatée familiale hypokinétique | cardiomyopathie dilatée hypokinétique familiale | cardiomyopathie dilatée idiopathique | cardiomyopathie familiale hypokinétique dilatée
I51.49,18,atteinte myocardique | cardiomyosite | fibrose cardiaque | fibrose cardiaque inféro-latérale | fibrose endomyocardique
I63.19,17,artério-embolisation carotidienne | athérome carotidien emboligène | athérome carotidien thrombogène | embol carotidien | embolie artère carotide
E03.99,16,hypoparathyroïdie idiopathique | hypothyroïdie | hypothyroïdie aigüe | hypothyroïdie ancienne | hypothyroïdie centrale
I63.80,14,AVC multiples thrombo-emboliques | ischémies cérébrales multiples | ramollissement fronto-pariétal | ramollissement fronto-temporal | ramollissement fronto-temporo-pariétal
J11.19,14,affection respiratoire grippale | bronchite aigüe grippale | bronchite aigüe post-grippale | bronchite grippale | bronchite grippale aigüe
D75.2,13,hyperplaquettose | hyperplaquettose idiopathique | hémopathie plaquettaire | polyplaquettose | thrombocytose
G20.00,12,Parkinson invalidant | Parkinson évolué | maladie Parkinson compliquée | maladie Parkinson décompensée | maladie Parkinson forme akinétique invalidante
I61.10,12,hématomes bi-frontaux | hématomes bi-temporaux | hématomes bifrontaux cérébraux | hématomes cérébraux bifrontaux | hématomes frontaux
K58.9,12,SII | colite lymphocytaire | colite microscopique | colite microscopique lymphocytaire | colite spasmodique
A16.99,10,TBC | infection Mycobacterium tuberculosis | infection tuberculeuse | réactivation tuberculose ancienne | surinfection tuberculeuse
I69.10,10,antécédents AVC hémorragiques | antécédents AVC ischémiques hémorragiques | antécédents hématomes intracrâniens multiples | antécédents hématomes sous-duraux bi-pariétaux | hématomes cérébraux anciens
K72.09,9,atrophie sub-aigüe foie | hépatite auto-immune sub-fulminante | hépatite sub-fulminante auto-immune | hépatite subfulminante | insuffisance hépatique subaigüe
I42.20,8,CMNO familiale | CMNO primitive | cardiomyopathie familiale primitive | cardiomyopathie hypertrophique familiale | cardiomyopathie hypertrophique primitive
I60.69,8,AVC hémorragique territoire vertébro-basilaire | AVC hémorragique vertébro-basilaire | hémorragie méningée sylvienne | hémorragie vaisseaux vertébraux | hémorragie vertébro-basilaire
Q28.30,8,anévrisme ampoule Gallien | anévrisme artère cérébrale antérieure | anévrisme artériel intra-crânien | anévrisme intra-cérébral | anévrisme sylvien
I63.00,7,thrombose artères carotides internes | thrombose artères vertébrales bilatérales | thrombose axes carotidiens | thrombose bilatérale artères carotides | thrombose bilatérale carotides internes
I63.30,7,thrombose artères cérébrales | thrombose artères sylviennes | thrombose artères tronc cérébral | thrombose capsulo-thalamique | thrombose carotido-sylvienne
I42.90,6,cardiomyopathie hypokinétique primitive | cardiomyopathie idiopathique | cardiomyopathie non dilatée primitive | cardiopathie familiale | myocardiopathie idiopathique
K72.10,6,défaillance hépatique chronique | encéphalopathie hépatique chronique | insuffisance hépatique chronique | insuffisance hépato-cellulaire chronique | insuffisance hépatocellulaire acutisée
O04.9,6,IMG | IVG | avortement médical | interruption médicale grossesse | interruption thérapeutique grossesse
I42.59,5,cardiomyopathie hypertrophique restrictive | cardiomyopathie hypokinétique restrictive | cardiomyopathie restrictive | myocardiopathie constrictive | myocardiopathie restrictive
I51.50,5,cardio-angiopathie scléro-dégénérative | cardiomyopathie scléro-dégénérative | cardiopathie scléro-dégénérative | cardiopathie sclérodégénérative | insuffisance cardiaque scléro-dégénérative
Y05.9,5,défloration traumatique | inceste | viol | viol collectif | violences anales
G12.20,4,SLA évoluée | maladie Charcot évoluée | sclérose latérale amyotrophique invalidante | sclérose latérale amyotrophique évoluée
J10.19,4,grippe B | grippe espagnole | grippe influenzae B | grippe type B
Q27.80,4,anomalies vasculaires type micro-anévrismes | anévrisme congénital | malformation anévrysmale | rupture anévrismale malformative
T10.1,4,fracture ouverte MS | fracture ouverte MSD | fracture ouverte MSG | fracture ouverte membre supérieur
A91,3,dengue hémorragique | dengue thrombopénique | fièvre hémorragique dengue
I42.50,3,cardiomyopathie restrictive familiale | cardiopathie restrictive familiale | myocardiopathie restrictive familiale
I60.60,3,inondation polygone Willis | rupture anévrisme polygone Willis | rupture anévrisme territoire polygone Willis
M31.2,3,granulome malin centro-facial | granulome malin face | granulome malin médio-facial
E03.90,2,hypothyroïdie majeure | hypothyroïdie sévère
I61.40,2,AVC hémorragique massif ponto-mésencéphalique | hématomes cérébelleux bilatéraux
I63.10,2,athéromatose emboligène bifurcations carotidiennes | embols carotidiens
K63.10,2,brèche colique | brèche grêle
O04.4,2,ISG | interruption sélective grossesse
Q28.20,2,anévrisme artério-veineux cérébral | shunt artério-veineux
U99.0,2,erreur date naissance | voir date naissance
Z76.7,2,RDRC | réponse demande renseignements complémentaires
A90,1,dengue
C66.9,1,carcinome baso-cellulaire oeil
I35.5,1,plaie plexus veineux iliaque
I51.40,1,myocardite sénile artérielle
I60.70,1,rupture anévrisme ampullaire
I61.00,1,effraction tétra-ventriculaire
I61.50,1,hématomes intra-cérébraux thalamiques
K58.0,1,diarrhée sur laxatif
M13.98,1,arthrite temporo-mandibulaire
O04.3,1,résidus embryonaires utérins post-ivg
O04.5,1,endométrite post-curetage IVG
O04.7,1,embolie pulmonaire post-ivg
P21.8,1,souffrance cérébrale périnatale
Q35.8,1,double fente palatine
R51.8,1,talcage plèvre
R58.0,1,hématomes genoux
S79.3,1,plaie hémithorax surinfectée
S93.8,1,amputation Lisfranc
U06.9,1,Zika
Y93.6,1,amputation champ pulmonaire
Z76.6,1,demande renseignements complémentaires
Z86.8,1,prothèse bilio-pancréatique
